x,y,width,height,confidence,class_id,Broadcaster,Video,Frame
449.74414,804.45685,815.4922,1496.8427,0.7490255,0.0,WDR,RPReplay_Final1741874852.mov,25
446.22574,472.77463,810.0374,810.5927,0.5899142,0.0,WDR,RPReplay_Final1741874852.mov,25
465.70117,796.97327,776.7036,1489.9626,0.49020204,0.0,WDR,RPReplay_Final1741874852.mov,50
153.17615,674.0922,225.66797,418.73364,0.42635262,0.0,WDR,RPReplay_Final1741874852.mov,50
447.61563,835.0658,820.5826,1508.4238,0.8114373,0.0,WDR,RPReplay_Final1741874852.mov,75
152.01994,678.55865,221.69261,406.67398,0.26497898,0.0,WDR,RPReplay_Final1741874852.mov,75
455.4149,818.3665,805.80914,1527.6478,0.8720848,0.0,WDR,RPReplay_Final1741874852.mov,100
161.00507,905.64624,242.88127,859.0327,0.52105457,0.0,WDR,RPReplay_Final1741874852.mov,100
447.78482,823.5237,813.6269,1501.1389,0.9133252,0.0,WDR,RPReplay_Final1741874852.mov,125
446.78174,821.6927,814.8601,1504.9813,0.9223867,0.0,WDR,RPReplay_Final1741874852.mov,150
444.5139,822.5099,812.5892,1495.6919,0.9229468,0.0,WDR,RPReplay_Final1741874852.mov,175
442.26447,824.3095,818.1244,1495.9232,0.9148331,0.0,WDR,RPReplay_Final1741874852.mov,200
447.4041,822.8163,813.4945,1513.4004,0.87913483,0.0,WDR,RPReplay_Final1741874852.mov,225
446.60684,824.6249,810.1098,1522.3269,0.87425613,0.0,WDR,RPReplay_Final1741874852.mov,250
449.96277,822.2889,815.9175,1522.4186,0.8384653,0.0,WDR,RPReplay_Final1741874852.mov,275
444.58347,1258.1415,819.9515,634.3613,0.28184128,73.0,WDR,RPReplay_Final1741874852.mov,275
446.08932,822.9713,816.04535,1511.5105,0.9037876,0.0,WDR,RPReplay_Final1741874852.mov,300
446.92664,822.0348,813.5349,1518.763,0.86244977,0.0,WDR,RPReplay_Final1741874852.mov,325
446.3061,827.99744,815.18933,1507.6174,0.9251453,0.0,WDR,RPReplay_Final1741874852.mov,350
148.42026,293.6733,214.57965,447.87863,0.4020319,0.0,WDR,RPReplay_Final1741874852.mov,350
446.9797,820.535,813.7668,1512.4991,0.90743905,0.0,WDR,RPReplay_Final1741874852.mov,375
446.297,825.7286,815.4723,1514.0165,0.92867374,0.0,WDR,RPReplay_Final1741874852.mov,400
446.7388,828.0168,810.3642,1506.9603,0.90731144,0.0,WDR,RPReplay_Final1741874852.mov,425
444.90878,819.45953,813.29095,1486.8661,0.91395926,0.0,WDR,RPReplay_Final1741874852.mov,450
446.90427,815.2534,818.0715,1505.3809,0.92165965,0.0,WDR,RPReplay_Final1741874852.mov,475
458.66,818.4686,805.09454,1517.8169,0.8304972,0.0,WDR,RPReplay_Final1741874852.mov,500
528.401,425.11005,559.79407,806.4104,0.441109,0.0,WDR,RPReplay_Final1741874852.mov,500
450.52222,904.3678,804.88477,1341.8262,0.8601343,0.0,WDR,RPReplay_Final1741874852.mov,525
506.98917,424.7163,520.3344,810.3469,0.62084085,0.0,WDR,RPReplay_Final1741874852.mov,525
449.09695,824.3874,820.5921,1529.2313,0.8452799,0.0,WDR,RPReplay_Final1741874852.mov,550
507.4744,370.93744,475.88385,709.06665,0.4000984,0.0,WDR,RPReplay_Final1741874852.mov,550
602.40454,171.04424,308.85724,310.58157,0.3241774,0.0,WDR,RPReplay_Final1741874852.mov,550
451.9522,831.28894,827.34705,1515.6543,0.91451627,0.0,WDR,RPReplay_Final1741874852.mov,575
124.38115,480.51508,168.53406,672.3163,0.42884204,0.0,WDR,RPReplay_Final1741874852.mov,575
449.5929,887.3762,814.46216,1372.8103,0.9107686,0.0,WDR,RPReplay_Final1741874852.mov,600
449.70166,892.7995,818.4955,1374.3151,0.88858116,0.0,WDR,RPReplay_Final1741874852.mov,625
448.69907,876.81085,811.0954,1395.2191,0.8921724,0.0,WDR,RPReplay_Final1741874852.mov,650
449.50516,873.70874,813.0225,1386.2,0.9018121,0.0,WDR,RPReplay_Final1741874852.mov,675
449.2541,853.9108,817.6078,1461.2279,0.93333215,0.0,WDR,RPReplay_Final1741874852.mov,700
452.2966,844.2381,821.3127,1460.3707,0.91107816,0.0,WDR,RPReplay_Final1741874852.mov,725
459.98257,847.8902,803.3774,1464.6942,0.90178853,0.0,WDR,RPReplay_Final1741874852.mov,750
129.0922,1037.0062,172.464,546.43427,0.5746425,0.0,WDR,RPReplay_Final1741874852.mov,750
457.55777,841.85785,802.85846,1461.211,0.8994715,0.0,WDR,RPReplay_Final1741874852.mov,775
127.56769,1037.3956,171.957,546.5356,0.44157356,0.0,WDR,RPReplay_Final1741874852.mov,775
455.22092,854.22986,807.2714,1443.9226,0.89183795,0.0,WDR,RPReplay_Final1741874852.mov,800
129.45494,969.3052,171.88986,407.26776,0.45325568,0.0,WDR,RPReplay_Final1741874852.mov,800
453.4274,852.7283,806.48846,1442.5298,0.89712656,0.0,WDR,RPReplay_Final1741874852.mov,825
126.00336,1038.7019,165.90427,534.68243,0.35718107,0.0,WDR,RPReplay_Final1741874852.mov,825
450.3314,816.1992,816.1645,1497.573,0.9098983,0.0,WDR,RPReplay_Final1741874852.mov,850
447.55316,823.7284,817.8047,1497.7393,0.9279102,0.0,WDR,RPReplay_Final1741874852.mov,875
450.64233,817.83386,821.0376,1509.1973,0.9088061,0.0,WDR,RPReplay_Final1741874852.mov,900
448.4804,826.52167,817.905,1507.7491,0.88493925,0.0,WDR,RPReplay_Final1741874852.mov,925
448.23105,879.9505,812.71295,1414.7555,0.8836666,0.0,WDR,RPReplay_Final1741874852.mov,950
589.15137,451.36807,448.24356,865.79767,0.5250178,0.0,WDR,RPReplay_Final1741874852.mov,950
448.97742,838.8247,810.04114,1503.0388,0.89288145,0.0,WDR,RPReplay_Final1741874852.mov,975
